,y,x,y_test_pred
188,10.290246495353326,76.54252583515105,16.936823
189,10.28997700076809,76.54252583515105,24.10998
190,10.289707506182854,76.54252583515105,24.525959
191,10.289438011597618,76.54252583515105,24.525959
390,10.290246495353326,76.5427953297363,16.964342
391,10.28997700076809,76.5427953297363,24.540596
392,10.289707506182854,76.5427953297363,24.04954
393,10.289438011597618,76.5427953297363,24.551628
591,10.29051598993856,76.54306482432152,16.989027
592,10.290246495353326,76.54306482432152,25.009104
593,10.28997700076809,76.54306482432152,24.060062
594,10.289707506182854,76.54306482432152,24.115839
595,10.289438011597618,76.54306482432152,24.53481
793,10.29051598993856,76.54333431890676,16.127544
794,10.290246495353326,76.54333431890676,24.407053
795,10.28997700076809,76.54333431890676,24.557165
796,10.289707506182854,76.54333431890676,24.060062
797,10.289438011597618,76.54333431890676,24.54896
995,10.29051598993856,76.543603813492,15.245731
996,10.290246495353326,76.543603813492,23.087576
997,10.28997700076809,76.543603813492,24.606766
998,10.289707506182854,76.543603813492,24.08875
999,10.289438011597618,76.543603813492,24.559078
1197,10.29051598993856,76.54387330807724,16.82063
1198,10.290246495353326,76.54387330807724,21.772413
1199,10.28997700076809,76.54387330807724,24.570042
1200,10.289707506182854,76.54387330807724,24.534027
1201,10.289438011597618,76.54387330807724,24.587185
1399,10.29051598993856,76.54414280266246,17.056335
1400,10.290246495353326,76.54414280266246,21.43947
1401,10.28997700076809,76.54414280266246,22.596474
1402,10.289707506182854,76.54414280266246,24.516306
1403,10.289438011597618,76.54414280266246,25.20323
1601,10.29051598993856,76.5444122972477,16.89434
1602,10.290246495353326,76.5444122972477,22.254656
1603,10.28997700076809,76.5444122972477,22.069714
1604,10.289707506182854,76.5444122972477,24.582745
1605,10.289438011597618,76.5444122972477,24.953411
1803,10.29051598993856,76.54468179183294,16.4866
1804,10.290246495353326,76.54468179183294,22.787924
1805,10.28997700076809,76.54468179183294,21.68816
1806,10.289707506182854,76.54468179183294,24.369701
1807,10.289438011597618,76.54468179183294,25.030396
2005,10.29051598993856,76.54495128641818,16.327663
2006,10.290246495353326,76.54495128641818,22.679125
2007,10.28997700076809,76.54495128641818,21.724316
2008,10.289707506182854,76.54495128641818,23.464231
2207,10.29051598993856,76.54522078100341,15.068741
2208,10.290246495353326,76.54522078100341,22.013943
2209,10.28997700076809,76.54522078100341,21.708696
2210,10.289707506182854,76.54522078100341,22.076641
2409,10.29051598993856,76.54549027558865,22.057396
2410,10.290246495353326,76.54549027558865,22.363905
2411,10.28997700076809,76.54549027558865,21.111568
2412,10.289707506182854,76.54549027558865,14.883402
2610,10.290785484523797,76.54575977017389,15.418294
2611,10.29051598993856,76.54575977017389,22.837402
2612,10.290246495353326,76.54575977017389,22.900822
2613,10.28997700076809,76.54575977017389,21.054815
2614,10.289707506182854,76.54575977017389,15.94909
2813,10.29051598993856,76.54602926475911,15.052766
2814,10.290246495353326,76.54602926475911,22.855518
2815,10.28997700076809,76.54602926475911,21.330498
2816,10.289707506182854,76.54602926475911,22.638285
3015,10.29051598993856,76.54629875934435,15.0018
3016,10.290246495353326,76.54629875934435,22.816767
3017,10.28997700076809,76.54629875934435,22.08284
3018,10.289707506182854,76.54629875934435,21.871626
3217,10.29051598993856,76.54656825392959,15.101084
3218,10.290246495353326,76.54656825392959,22.640419
3219,10.28997700076809,76.54656825392959,22.63754
3220,10.289707506182854,76.54656825392959,22.007807
3221,10.289438011597618,76.54656825392959,22.839357
3420,10.290246495353326,76.54683774851483,14.726336
3421,10.28997700076809,76.54683774851483,22.809685
3422,10.289707506182854,76.54683774851483,21.96286
3423,10.289438011597618,76.54683774851483,23.31023
3622,10.290246495353326,76.54710724310006,15.5156765
3623,10.28997700076809,76.54710724310006,16.529085
3624,10.289707506182854,76.54710724310006,22.900822
3625,10.289438011597618,76.54710724310006,24.37933
3825,10.28997700076809,76.5473767376853,14.984194
3826,10.289707506182854,76.5473767376853,22.825344
3827,10.289438011597618,76.5473767376853,23.515078
4028,10.289707506182854,76.54764623227054,22.837402
4029,10.289438011597618,76.54764623227054,23.573378
4030,10.289168517012381,76.54764623227054,23.631668
4031,10.288899022427147,76.54764623227054,23.541143
4032,10.28862952784191,76.54764623227054,16.093206
4230,10.289707506182854,76.54791572685578,14.940279
4231,10.289438011597618,76.54791572685578,23.337437
4232,10.289168517012381,76.54791572685578,23.728132
4233,10.288899022427147,76.54791572685578,23.538208
4234,10.28862952784191,76.54791572685578,23.510746
4433,10.289438011597618,76.548185221441,16.142027
4434,10.289168517012381,76.548185221441,23.411152
4435,10.288899022427147,76.548185221441,23.365051
4436,10.28862952784191,76.548185221441,23.252415
4437,10.288360033256675,76.548185221441,22.095844
4636,10.289168517012381,76.54845471602624,24.815632
4637,10.288899022427147,76.54845471602624,23.411152
4638,10.28862952784191,76.54845471602624,23.74186
4639,10.288360033256675,76.54845471602624,23.337437
4640,10.288090538671439,76.54845471602624,22.1064
4839,10.288899022427147,76.54872421061148,16.01714
4840,10.28862952784191,76.54872421061148,23.44854
4841,10.288360033256675,76.54872421061148,23.479181
4842,10.288090538671439,76.54872421061148,22.422739
