,sen_B1,sen_B2,sen_B3,sen_B4,sen_B5,sen_B6,sen_B7,sen_B8,sen_B8A,sen_B9,sen_B11,sen_B12,land_B1,land_B2,land_B3,land_B4,land_B5,land_B6,land_B7,bathy,lat,lon
0,0.0243,0.0277,0.027,0.0186,0.0212,0.0171,0.0188,0.0188,0.0197,0.0216,0.1105,0.0238,0.02604999999999999,0.032594999999999985,0.04397999999999999,0.03366749999999999,0.04084499999999999,0.031192499999999984,0.02547250000000001,15.848000000000003,10.304777375742294,76.78581507930576
1,0.0243,0.0277,0.027,0.0186,0.0212,0.0171,0.0188,0.0188,0.0197,0.0216,0.1105,0.0238,0.02604999999999999,0.032594999999999985,0.04397999999999999,0.03366749999999999,0.04084499999999999,0.031192499999999984,0.02547250000000001,13.959999999999999,10.304735270812133,76.78588080165474
2,0.0243,0.028,0.0272,0.0199,0.0208,0.0166,0.0174,0.0174,0.0175,0.0206,0.1105,0.0229,0.026902499999999996,0.03320000000000001,0.04508000000000001,0.03394249999999999,0.0414225,0.031082499999999985,0.025444999999999995,21.813333333333333,10.304901853051666,76.78573890265893
3,0.0243,0.0277,0.027,0.0186,0.0212,0.0171,0.0188,0.0188,0.0197,0.0216,0.1105,0.0238,0.02604999999999999,0.032594999999999985,0.04397999999999999,0.03366749999999999,0.04084499999999999,0.031192499999999984,0.02547250000000001,20.993333333333336,10.304856643692146,76.78575672331324
4,0.0342,0.0314,0.0343,0.02095,0.02695,0.02855,0.033,0.033,0.02665,0.0278,0.1808,0.028,0.03298000000000001,0.043429999999999996,0.0626525,0.054017499999999996,0.14402500000000001,0.09394750000000002,0.06438500000000003,6.376666666666666,10.30490679848946,76.8279277663291
5,0.0243,0.0279,0.0282,0.0203,0.0212,0.0152,0.0168,0.0168,0.0152,0.0181,0.1105,0.0227,0.02541750000000001,0.03168750000000001,0.044639999999999985,0.034629999999999994,0.041614999999999985,0.03133,0.02536250000000001,26.458571428571425,10.304964598165187,76.78572462801556
6,0.0342,0.0314,0.0343,0.02095,0.02695,0.02855,0.033,0.033,0.02665,0.0278,0.1808,0.028,0.03298000000000001,0.043429999999999996,0.0626525,0.054017499999999996,0.14402500000000001,0.09394750000000002,0.06438500000000003,5.16,10.304924677688051,76.82794198849892
7,0.03405,0.0323,0.0419,0.02975,0.0384,0.0496,0.05535,0.05535,0.0814,0.0607,0.12515,0.0392,0.002674999999999983,0.016589999999999994,0.0385625,0.028167499999999984,0.07582499999999998,0.0507725,0.03803999999999999,3.5014285714285713,10.304963008418213,76.82798980926928
8,0.0334,0.0295,0.03085,0.0173,0.01815,0.01435,0.0159,0.0159,0.0176,0.01625,0.04335,0.01505,-0.0026599999999999957,0.009137499999999993,0.03058749999999999,0.020329999999999987,0.054815,0.03443750000000001,0.026187500000000002,2.7350000000000003,10.305006297343269,76.82805606606071
9,0.0243,0.0279,0.0282,0.0203,0.0212,0.0152,0.0168,0.0168,0.0152,0.0181,0.1105,0.0227,0.02541750000000001,0.03168750000000001,0.044639999999999985,0.034629999999999994,0.041614999999999985,0.03133,0.02536250000000001,34.580000000000005,10.305057972356096,76.78571272985268
10,0.0334,0.0295,0.03085,0.0173,0.01815,0.01435,0.0159,0.0159,0.0176,0.01625,0.04335,0.01505,-0.0026599999999999957,0.009137499999999993,0.03058749999999999,0.020329999999999987,0.054815,0.03443750000000001,0.026187500000000002,3.85,10.305034979770685,76.82811152869989
11,0.0334,0.0295,0.03085,0.0173,0.01815,0.01435,0.0159,0.0159,0.0176,0.01625,0.04335,0.01505,-0.0026599999999999957,0.009137499999999993,0.03058749999999999,0.020329999999999987,0.054815,0.03443750000000001,0.026187500000000002,5.609999999999999,10.305071780409143,76.82819412765818
12,0.0334,0.0295,0.03085,0.0173,0.01815,0.01435,0.0159,0.0159,0.0176,0.01625,0.04335,0.01505,-0.0026599999999999957,0.009137499999999993,0.03058749999999999,0.020329999999999987,0.054815,0.03443750000000001,0.026187500000000002,6.763333333333333,10.305103396548061,76.82826766690295
13,0.0243,0.0279,0.0282,0.0203,0.0212,0.0152,0.0168,0.0168,0.0152,0.0181,0.1105,0.0227,0.02541750000000001,0.03168750000000001,0.044639999999999985,0.034629999999999994,0.041614999999999985,0.03133,0.02536250000000001,59.446666666666665,10.30518839287445,76.78570734798733
14,0.0334,0.0295,0.03085,0.0173,0.01815,0.01435,0.0159,0.0159,0.0176,0.01625,0.04335,0.01505,-0.0026599999999999957,0.009137499999999993,0.03058749999999999,0.020329999999999987,0.054815,0.03443750000000001,0.026187500000000002,7.36,10.305126418230271,76.82832368269086
15,0.0334,0.02815,0.0305,0.01725,0.0193,0.0132,0.01475,0.01475,0.01715,0.0135,0.04335,0.0151,-0.007445000000000007,0.0032524999999999915,0.027425000000000005,0.016672500000000007,0.037599999999999995,0.027260000000000006,0.020659999999999984,8.057500000000001,10.305154139597915,76.82839322089345
16,0.0334,0.02815,0.0305,0.01725,0.0193,0.0132,0.01475,0.01475,0.01715,0.0135,0.04335,0.0151,-0.007445000000000007,0.0032524999999999915,0.027425000000000005,0.016672500000000007,0.037599999999999995,0.027260000000000006,0.020659999999999984,9.004,10.305195848949419,76.82849739201887
17,0.0255,0.0286,0.0287,0.0196,0.0221,0.0154,0.0156,0.0156,0.0146,0.0171,0.0922,0.022,0.02437249999999999,0.031027499999999986,0.04290749999999999,0.033007499999999995,0.03925000000000001,0.02990000000000001,0.024125000000000008,31.471666666666664,10.3052644988883,76.78570970890597
18,0.03315,0.0281,0.03055,0.01755,0.01925,0.013,0.0134,0.0134,0.01305,0.01135,0.04715,0.0133,-0.014155000000000001,-0.0012574999999999947,0.024125000000000008,0.013427500000000009,0.03669249999999999,0.026242500000000002,0.020219999999999988,9.9175,10.305237496130777,76.82859576606322
19,0.03315,0.0281,0.03055,0.01755,0.01925,0.013,0.0134,0.0134,0.01305,0.01135,0.04715,0.0133,-0.014155000000000001,-0.0012574999999999947,0.024125000000000008,0.013427500000000009,0.03669249999999999,0.026242500000000002,0.020219999999999988,11.223333333333334,10.30528444781583,76.82869502274015
